"search_term_used","study_id","title","description","organism","relevance_score","url"
"blood pressure","GSE11870","Gene expression changes in primary aortic endothelial cells during expression of dominant negative PPAR gamma (V290M).","Ligand-mediated activation of the nuclear hormone receptor PPAR gamma lowers blood pressure and improves glucose tolerance in humans.  Two naturally occurring mutations (P467L, V290M) in the ligand binding domain of PPAR gamma have been described in humans that lead to severe insulin resistance and hypertension.  Experimental evidence suggests that these mutant versions of PPAR gamma act in a dominant negative fashion.  To better understand the molecular mechanisms underlying PPAR gamma action i...","Mus musculus","13","https://osdr.nasa.gov/bio/repo/data/studies/GSE11870"
"blood pressure","GSE8949","Gene expression changes in mouse aorta during activation of or interference with PPAR gamma signaling.","Ligand-mediated activation of the nuclear hormone receptor PPAR gamma lowers blood pressure and improves glucose tolerance in humans.  Two naturally occurring mutations (P467L, V290M) in the ligand binding domain of PPAR gamma have been described in humans that lead to severe insulin resistance and hypertension.  Experimental evidence suggests that these mutant versions of PPAR gamma act in a dominant negative fashion.  To better understand the molecular mechanisms underlying PPAR gamma action i...","Mus musculus","13","https://osdr.nasa.gov/bio/repo/data/studies/GSE8949"
"blood pressure","GSE1622","Transcriptional profiling with a Blood Pressure QTL interval-specific oligonucleotide array","Keywords: : rat, hypertension, genetics, polygenic trait, microarray, gene expression Although the evidence for a genetic predisposition to human essential hypertension is compelling, the genetic control of blood pressure (BP) is poorly understood. The Dahl salt-sensitive (S) rat is a model for studying the genetic component of BP.  Using this model we previously reported the identification of 16 different genomic regions that contain one or more BP quantitative trait loci (QTLs). The proximal r...","Rattus norvegicus","13","https://osdr.nasa.gov/bio/repo/data/studies/GSE1622"
"blood pressure","PXD009410","ECM characterization of aortas from Adamts5+/+ and Adamts5∆cat AngII-treated mice by LC-MS/MS","Objective - Thoracic aortic aneurysm (TAA), a degenerative disease of the aortic wall, is accompanied by changes in the structure and composition of the aortic extracellular matrix (ECM). The ADAMTS (a disintegrin and metalloproteinase with thrombospondin motifs) family has recently been implicated in TAA formation. This study aimed to investigate the contribution of ADAMTS-5 to TAA development. Approach and Results - A model of aortic dilatation by angiotensin II (AngII) infusion was adopted in...","Mus musculus (Mouse)","13","https://osdr.nasa.gov/bio/repo/data/studies/PXD009410"
"circulation","GSE84216","Genome-wide analysis of the circulating miRNome after cerebral ischemia reveals a reperfusion-induced microRNA cluster"," Results - We discovered 24 circulating miRNAs with an altered abundance in the circulation 3 hours following ischemia, whereas the circulating miRNome was not altered after intracerebral hemorrhage compared to sham-operated mice. Among the upregulated miRNA in ischemia, the top-listed miR-1264/1298/448 cluster was strongly dependent on reperfusion in different ischemia models. A time course experiment revealed that the miR-1264/1298/448 cluster peaked in the circulation around 3 hours after rep...","Mus musculus","13","https://osdr.nasa.gov/bio/repo/data/studies/GSE84216"
"circulation","GSE120116","Transcriptional profiles in the chicken ductus arteriosus during hatching","The ductus arteriosus constricts after birth or hatching and eventually closes to terminate embryonic circulation. Chicken embryos have two long ductus arteriosus. Then the pulmonary artery-sided and descending aorta-sided ductus arteriosus have distinct functional characteristics, such as oxygen responsiveness. We used microarrays to elucidate the difference between the pulmonary artery-sided and descending aorta-sided ductus arteriosus in their transcriptional profiles.","Gallus gallus","13","https://osdr.nasa.gov/bio/repo/data/studies/GSE120116"
"circulation","PXD006573","Mouse Liver LC-MS/MS LNA miR-676 treated dbdb mice","Over 40 % of microRNAs are located in introns of coding genes, and many intronic microRNAs are co-regulated with their host genes. In such cases of co-regulation, the products of host genes and their intronic microRNAs can cooperate to coordinately regulate biologically important pathways. Therefore, we screened intronic microRNAs dysregulated in liver of obese mouse models to identify previously uncharacterized coding host genes that may contribute to the pathogenesis of obesity-associated insu...","Mus musculus (Mouse)","13","https://osdr.nasa.gov/bio/repo/data/studies/PXD006573"
"circulation","GSE57305","Altered mRNA expression profile of GW4064 treated mouse livers compared to vehicle control","GW4064 is a synthetic FXR agonist which selectively activates FXR and induce the transcription of FXR target genes. Farnesoid X receptor (FXR) is a ligand activated nuclear receptor belonging to the nuclear receptor superfamily. Bile acids (BAs) are the endogenous ligand for FXR. FXR is a master regulator of BA homestasis, including BA synthesis, metabolism, transport, and enterohepatic circulation of BAs. Besides, FXR is involved in regulating diverse physioligical function in both humans and m...","Mus musculus","13","https://osdr.nasa.gov/bio/repo/data/studies/GSE57305"
"circulation","GSE32273","Genome-wide maps of circulating miRNA biomarkers for Ulcerative Colitis","Whole genome miRNA expression levels in Microvescicles , Peripheral Blood Mononuclear Cells (PMBC) and platelets from a cohort of 20 Ulcerative Colitis patients and 20 normal individuals were measured using Affymetric microarrays. Circulating miRNAs has recently emerged as clinically relevant blood-based biomarkers for disease detection, tracking and prediction. The stability of these species combined with easy accessibility in circulation makes them attractive candidates for rapid and economic ...","synthetic construct","13","https://osdr.nasa.gov/bio/repo/data/studies/GSE32273"
"circulation","GSE112853","Next generation sequencing profiling experimental circulating tumor cells-derived metastatic variants [micro-environment]","Hematogenous metastasis is initiated by a subset of circulating tumor cells (CTCs) shed from primary or metastatic tumors into the blood circulation. Thus, CTCs provide a unique patient biopsy resource to decipher the cellular subpopulations that initiate metastasis and their molecular properties. However, one crucial question is whether CTCs derived from patients recapitulate human metastatic disease in an animal model. Here, we show that CTC lines established from breast cancer patients are ca...","Mus musculus","13","https://osdr.nasa.gov/bio/repo/data/studies/GSE112853"
"circulation","GSE129489","Pro-survival Lipid Sphingosine-1-Phosphate Metabolically Reprograms T cell to Limit its Anti-Tumor Activity","Sphingosine 1-phosphate (S1P), a pro-tumor survival bioactive lysophospholipid, generated by sphingosine kinase 1 (SphK1), regulates lymphocyte egress into circulation via transducing S1P receptor 1 (S1PR1) signalling, and also plays a role in the differentiation of regulatory T cells and T helper-17 cells. However, the mechanisms by which receptor-independent SphK1/S1P signallng regulates anti-tumor T cell activity remain unknown. Using melanoma antigen gp100 reactive T cells deficient in Sphk1...","Mus musculus","13","https://osdr.nasa.gov/bio/repo/data/studies/GSE129489"
"circulation","GSE100686","Hepatic Expression of Ectodysplasin (ED) A Increases in Obesity and Impairs Insulin Sensitivity in Skeletal Muscle","We screened intronic microRNAs dysregulated in liver of obese mouse models to identify previously uncharacterized coding host genes that may contribute to the pathogenesis of obesity-associated insulin resistance and type 2 diabetes mellitus. Our approach identified the expression of Ectodysplasin A (Eda), the causal gene of X-linked hypohidrotic ectodermal dysplasia (XLHED; MIM 305100) was strongly increased in liver of obese mouse models both in rodents and humans.Eda expression in murine live...","Mus musculus","13","https://osdr.nasa.gov/bio/repo/data/studies/GSE100686"
"circulation","GSE64787","Adiponectin improves local lipid metabolism in regenerating pancreatic islets after β-cell ablation","Pathways that stimulate β-cell regeneration remain of great clinical interest, yet effective therapeutic avenues that promote survival or reconstitution of β-cell mass remain elusive. Utilizing a mouse model with inducible β-cell apoptosis followed by adiponectin-mediated regeneration, we aimed to identify key molecules boosting β-cell viability. Within the regenerating pancreatic islets, we examined changes within the transcriptome, and observed an extensive upregulation of genes encoding prote...","Mus musculus","13","https://osdr.nasa.gov/bio/repo/data/studies/GSE64787"
"astronaut health","OSD-279","International Space Station flight project EXTREMOPHILES","The International Space Station (ISS) is a unique habitat for humans and microorganisms. Here, we report the results of the ISS experiment EXTREMOPHILES, including the analysis of microbial communities from several areas aboard at three time points. We assess microbial diversity, distribution, functional capacity and resistance profile using a combination of cultivation-independent analyses (amplicon and shot-gun sequencing) and cultivation-dependent analyses (physiological and genetic character...","c, e, l, l, u, l, a, r,  , o, r, g, a, n, i, s, m, s","13","https://osdr.nasa.gov/bio/repo/data/studies/OSD-279"
"human spaceflight","OSD-610","Drosophila parasitoids go to space: Unexpected and differential effects of spaceflight on hosts and their parasitoids - Wasp Leptopilina boulardi 17 data","In this study, fruit flies and their parasitic wasps were sent to the ISS to examine changes in host immunity and parasite virulence. Key findings from this work are as follows: (a) Spaceflight spiked the expression of inflammation genes in fruit flies; (b) Spaceflight enhanced tumor growth in flies already suffering from chronic inflammation; (c) Spaceflight did not significantly affect parasitic wasp development, emergence, or the expression of virulence genes; (d) Parasite mutants with visibl...","L, e, p, t, o, p, i, l, i, n, a,  , b, o, u, l, a, r, d, i","13","https://osdr.nasa.gov/bio/repo/data/studies/OSD-610"
"human spaceflight","OSD-609","Drosophila parasitoids go to space: Unexpected and differential effects of spaceflight on hosts and their parasitoids - Wasp Leptopilina heterotoma 14 data","In this study, fruit flies and their parasitic wasps were sent to the ISS to examine changes in host immunity and parasite virulence. Key findings from this work are as follows: (a) Spaceflight spiked the expression of inflammation genes in fruit flies; (b) Spaceflight enhanced tumor growth in flies already suffering from chronic inflammation; (c) Spaceflight did not significantly affect parasitic wasp development, emergence, or the expression of virulence genes; (d) Parasite mutants with visibl...","L, e, p, t, o, p, i, l, i, n, a,  , h, e, t, e, r, o, t, o, m, a","13","https://osdr.nasa.gov/bio/repo/data/studies/OSD-609"
"human spaceflight","OSD-588","Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids - Drosophila data","In this study, fruit flies and their parasitic wasps were sent to the ISS to examine changes in host immunity and parasite virulence. Key findings from this work are as follows: (a) Spaceflight spiked the expression of inflammation genes in fruit flies; (b) Spaceflight enhanced tumor growth in flies already suffering from chronic inflammation; (c) Spaceflight did not significantly affect parasitic wasp development, emergence, or the expression of virulence genes; (d) Parasite mutants with visibl...","D, r, o, s, o, p, h, i, l, a,  , m, e, l, a, n, o, g, a, s, t, e, r","13","https://osdr.nasa.gov/bio/repo/data/studies/OSD-588"
"microgravity human","OSD-5","Transcription profiling of activated human T cells induced by microgravity to identify apoptotic genes and other immune response genes","The purpose of this study was to search for microgravity-sensitive genes, specifically for apoptotic genes influenced by the microgravity environment and other genes related to immune response. Experiment Overall Design: Two-group design with paired samples, i.e., one 1G and one MMG culture came from the same donor. Therefore, 6 samples came from 3 different donors. Experiment Overall Design: Donor 1 :GSM96146,GSM96147 Experiment Overall Design: Donor 2: GSM96148, GSM96149 Experiment Overall Des...","H, o, m, o,  , s, a, p, i, e, n, s","13","https://osdr.nasa.gov/bio/repo/data/studies/OSD-5"
"microgravity human","OSD-86","A study of alterations DNA epigenetic modifiincations (5mC and 5hmC) influenced by simulated microgravity in human lymphoblastoid cells","Here, in this study we systematically examined the patterns of DNA methylation and hydroxy-methylation with its functional implications in gene regulation for the cultured TK6 lymphoblastoid cells upon exposure to micro-gravity conditions. The results reported here indicate that simulated microgravity alters methylation patterns in a limited way and subsequently the expression of genes involved in stress response like ATF3, FBXO17, MAP3K13 and VCL in TK6 cells. Overall design: Examination of 2 d...","H, o, m, o,  , s, a, p, i, e, n, s","13","https://osdr.nasa.gov/bio/repo/data/studies/OSD-86"
"microgravity human","OSD-91","A study of gene expression influenced by simulated microgravity in human lymphoblastoid cells","Here, in this study we systematically examined the patterns of DNA methylation and hydroxy-methylation with its functional implications in gene regulation for the cultured TK6 lymphoblastoid cells upon exposure to micro-gravity conditions. The results reported here indicate that simulated microgravity alters methylation patterns in a limited way and subsequently the expression of genes involved in stress response like ATF3, FBXO17, MAP3K13 and VCL in TK6 cells. Overall design: Examination of RNA...","H, o, m, o,  , s, a, p, i, e, n, s","13","https://osdr.nasa.gov/bio/repo/data/studies/OSD-91"
"microgravity human","OSD-56","Gene expression profiling of human peripheral blood lymphocytes cultured in modeled microgravity","In the present study we analyzed miRNA and mRNA expression profiles in human peripheral blood lymphocytes (PBLs) incubated in microgravity condition, simulated by a ground-based Rotating Wall Vessel (RWV) bioreactor. Our results show that 42 miRNAs were differentially expressed in MMG-incubated PBLs compared with 1g-incubated ones. Among these, miR-9-5p, miR-9-3p, miR-155-5p, miR-150-3p, and miR-378-3p were the most dysregulated. To improve the detection of functional miRNA-mRNA pairs we perform...","H, o, m, o,  , s, a, p, i, e, n, s","13","https://osdr.nasa.gov/bio/repo/data/studies/OSD-56"
"microgravity human","OSD-189","Gene expression response to simulated gravity and hypergravity in human T cells","We investigated differentially regulated and stably expressed genes in human Jurkat T lymphocytic cells in 5min simulated microgravity and hypergravity and compared expression profiles to identify gravity-regulated and unaffected genes as well as adaptation processes. This dataset is part of a series of three, and the other two datasets are deposited in GLDS-172 and GLDS-188.","H, o, m, o,  , s, a, p, i, e, n, s","13","https://osdr.nasa.gov/bio/repo/data/studies/OSD-189"
"cardiovascular","GSE137501","Transcriptomic profiling of ZMPSTE24 knockout endothelial cells: implication of endothelial dysfunction in HGPS","Hutchinson-Gilford progeria syndrome (HGPS) is an ultrarare and fatal disease with features of premature aging and cardiovascular diseases (atherosclerosis, myocardial infarction, and stroke). The molecular basis underlying premature aging driven cardiovascular diseases remains incompletely understood. Since endothelial dysfunction is involved in the initiation and progression of cardiovascular diseases. We hypothesized that HGPS-causing progerin (a mutant form of lamin A) and farnesylated prela...","Mus musculus","12","https://osdr.nasa.gov/bio/repo/data/studies/GSE137501"
"cardiovascular","GSE103908","BCR-ABL1 inhibitors decrease cholesterol and atherosclerosis, and activate coagulation in a translational mouse model","Objectives: Treatment with the second and third generation BCR-ABL1 tyrosine kinase inhibitors (TKIs) increases cardiovascular risk in chronic myeloid leukemia (CML) patients. We investigated the multifactorial process of TKI-induced vascular adverse effects in a translational model for atherosclerosis, the APOE3*Leiden.CETP mouse. Approach and results: Mice were treated for sixteen weeks with imatinib (150 mg/kg BID), nilotinib (10 and 30 mg/kg QD) or ponatinib (3 and 10 mg/kg QD), giving simil...","Mus musculus","12","https://osdr.nasa.gov/bio/repo/data/studies/GSE103908"
"heart","PXD008041","Proteomic characterization of the heart and skeletal muscle reveals widespread Arginine ADP-ribosylation by the ectopic  ADP-ribosyltransferase ARTC1","ADP-ribosylation has thus far been studied on the proteomic level mainly in cell lines and in combination with genotoxic stress. The clostridium-like ADP-ribosyltransferases (i.e. ARTC) are GPI-anchored or secreted proteins that are expressed in a highly tissue specific manner. Transcriptomic data revealed that ARTC1 is expressed in skeletal muscle and heart tissue. Although ARTC1 is highly active in vitro, identification of ARTC1 targets in vivo and subsequent characterization of ARTC1-regulate...","Mus musculus (Mouse)","12","https://osdr.nasa.gov/bio/repo/data/studies/PXD008041"
"circulation","GSE127928","Expression data from adipose stromal cells","Adipose stromal cells are adipocytes progenitors lying in the stroma vascular fraction of adipose tissue. They can also be released into the circulation upon dietary challenges. We used microarrays to compare the global programme of gene expression between adipose stromal cells originating from murine subcutaneous and perigonadal adipose depots","Mus musculus","12","https://osdr.nasa.gov/bio/repo/data/studies/GSE127928"
"circulation","GSE114095","Sex-specific gene regulation in malaria parasites by an AP2 Family Transcription Factor [Agilent]","Malaria gametocytes, the precursors of gametes, is the stage essential for malaria transmission to the mosquito vector. In the circulation they arise from asexual erythrocytic stages and then develop into mature females and males. Identification of sex-specific transcription factors is a key to understand biology of this stage. However, despite of intensive studies, none of them have been identified yet. In this paper we report an AP2 family transcription factor AP2-FG is responsible for female-...","Plasmodium berghei ANKA","12","https://osdr.nasa.gov/bio/repo/data/studies/GSE114095"
"circulation","GSE114094","Sex-specific gene regulation in malaria parasites by an AP2 Family Transcription Factor [ChIP-Seq]","Malaria gametocytes, the precursors of gametes, is the stage essential for malaria transmission to the mosquito vector. In the circulation they arise from asexual erythrocytic stages and then develop into mature females and males. Identification of sex-specific transcription factors is a key to understand biology of this stage. However, despite of intensive studies, none of them have been identified yet. In this paper we report an AP2 family transcription factor AP2-FG is responsible for female-...","Plasmodium berghei ANKA","12","https://osdr.nasa.gov/bio/repo/data/studies/GSE114094"
"circulation","GSE64887","Expression data from Plasmodium falciparum schizonts","We generated the most comprehensive P. falciparum functional gene network to date by integrating global transcriptional data from a large set of asexual and sexual in vitro samples, patient-derived in vivo samples, and a new set of in vitro samples profiling sexual commitment. We defined more than 250 functional modules (clusters) of genes that are co-expressed primarily during the intra-erythrocytic parasite cycle, including 35 during sexual commitment and gametocyte development. Comparing the ...","Plasmodium falciparum, Plasmodium berghei","12","https://osdr.nasa.gov/bio/repo/data/studies/GSE64887"
"circulation","GSE106371","Transcriptome of zebrafish neurohypophyseal astroglia (pituicytes)","The hypothalamo-neurohypophyseal system (HNS) is an interface through which the brain regulates body homeostasis by means of releasing the hypothalamic neurohormones oxytocin and arginine-vasopressin to the general circulation. The basic components of the HNS are the hypothalamic axonal projections, endothelial blood vessels and astroglial-like cells, termed pituicytes. These three tissue types converge and interact at the ventral forebrain to establish an efficient neuro-vascular interface, whi...","Danio rerio","12","https://osdr.nasa.gov/bio/repo/data/studies/GSE106371"
"human spaceflight","OSD-87","Spaceflight effects on the mouse retina: Histological, gene expression and epigenetic changes after flight on STS-135","We report the findings of an animal experiment onboard STS-135 investigating the molecular aspects of the impact of spaceflight on retinal biology by performing differential gene expression profiling between mice flown onboard STS-135 and their ground control counterparts.","M, u, s,  , m, u, s, c, u, l, u, s","12","https://osdr.nasa.gov/bio/repo/data/studies/OSD-87"
"human spaceflight","OSD-67","Microbial Observatory (ISS-MO): Study of BSL-2 bacterial isolates from the International Space Station","In an on-going Microbial Observatory experimental investigation on the International Space Station (ISS) multiple bacterial isolates of Biosafety Level 2 (BSL-2) were isolated and identified. The antibiotic susceptibility pattern was tested in these BSL-2 isolates for the following antibiotics: cefazolin ciprofloxacin cefoxitin erythromycin gentamycin oxacillin penicillin rifampin tobramycin and many of the BSL-2 isolates showed multiple drug resistance. Among these isolates 21 strains were chos...","K, l, e, b, s, i, e, l, l, a, ,,  , S, t, a, p, h, y, l, o, c, o, c, c, u, s, ,,  , E, n, t, e, r, o, b, a, c, t, e, r, ,,  , S, t, a, p, h, y, l, o, c, o, c, c, u, s,  , a, u, r, e, u, s, ,,  , P, a, n, t, o, e, a,  , c, o, n, s, p, i, c, u, a, ,,  , A, c, i, n, e, t, o, b, a, c, t, e, r,  , p, i, t, t, i, i","12","https://osdr.nasa.gov/bio/repo/data/studies/OSD-67"
"cardiovascular","mgp17493","KDP","Administration of prebiotics in a mouse model of cardiovascular dysfonction","N/A","11","https://osdr.nasa.gov/bio/repo/data/studies/mgp17493"
"cardiovascular","GSE103120","The DiGeorge Syndrome gene TBX1 is required to specify the nkx2.5+ cardiopharyngeal lineage","Hemizygous microdeletions on chromosome 22q11.2 cause a broad spectrum of congenital cardiovascular and craniofacial anomalies known collectively as DiGeorge Syndrome (DGS) that appear to arise from reduced expression of TBX1, a gene in the typically deleted region.  Although mice lacking tbx1 display similar, yet more severe, cardiovascular and craniofacial defects, the mechanisms underlying these devastating phenotypes remain incompletely understood. Here, we report that Tbx1 is required prior...","Danio rerio","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE103120"
"cardiovascular","PXD007281","Liver proteomics of the HMDP","Hepatosteatosis underlies several diseases including type 2 diabetes, cardiovascular disease and liver disease. Unfortunately, our understanding of the contributing pathways that initiate and advance hepatosteatosis to subsequent complications is still poorly understood. Here, we take advantage of recent developments in “omics” technologies to perform high resolution proteomics (>5000 proteins) and quantitative lipidomics (>300 lipids) on livers from 107 genetically diverse inbred mouse strains ...","Mus musculus (Mouse)","11","https://osdr.nasa.gov/bio/repo/data/studies/PXD007281"
"cardiovascular","PXD010818","Liver Proteomics of the Hybrid Mouse Diversity Panel","Hepatosteatosis underlies several diseases including type 2 diabetes, cardiovascular disease and liver disease. Unfortunately, our understanding of the contributing pathways that initiate and advance hepatosteatosis to subsequent complications is still poorly understood. Here, we take advantage of recent developments in “omics” technologies to perform high resolution proteomics (>5000 proteins) and quantitative lipidomics (>300 lipids) on livers from 107 genetically diverse inbred mouse strains ...","Mus musculus (Mouse)","11","https://osdr.nasa.gov/bio/repo/data/studies/PXD010818"
"cardiovascular","GSE92669","Circular RNAs in Rat Models of Cardiovascular and Renal diseases","The objective of this study was to profile circular RNAs (circRNAs) in rat genetic models of cardiovascular and renal disease. Renal profiles were obtained from the Dahl Salt-Sensitive rat (S), the Dahl Salt-Resistant rat (R), the Spontaneously Hypertensive Rat (SHR) and the Wistar Kyoto rat (WKY).","Rattus norvegicus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE92669"
"cardiovascular","GSE35664","High-throughput sequencing of endogenous small RNAs from rat vascular smooth muscle cells with and without Angiotensin II stimulation","Angiotensin II (Ang II)-mediated vascular smooth muscle cells (VSMC) dysfunction plays a critical role in cardiovascular diseases. However, the role of microRNAs (miRNAs) in this process is unclear. We used small RNA deep sequencing to profile Ang II-regulated miRNAs in rat VSMC and evaluated their role in VSMC dysfunction. Sequencing results revealed several Ang II-responsive miRNAs and bioinformatics analysis showed that their predicted targets can modulate biological processes relevant to car...","Rattus norvegicus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE35664"
"cardiovascular","GSE107689","Gender differences of gene expression profiles in brain cardiovascular centers of SHRs","This SuperSeries is composed of the SubSeries listed below.","Rattus norvegicus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE107689"
"cardiovascular","GSE107660","Gender differences of gene expression profiles in brain cardiovascular centers of WKY rats","This SuperSeries is composed of the SubSeries listed below.","Rattus norvegicus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE107660"
"cardiovascular","GSE4782","The effects of estrogen and testosterone on gene expression in the rat mesenteric arteries"," Keywords:  hormone treatment, vasculature, gender differences Experimental factors:  hormone treatment Keywords: hormone treatment Brief description of the experiment:  A dramatic difference exists in the timing of development of cardiovascular disease in men vs. women.  The primary candidates underlying the cause of gender differences in cardiovascular disease are the sex steroids, estrogen and testosterone.  The effect of estrogen on the cardiovascular system has been expected to be protectiv...","Rattus norvegicus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE4782"
"cardiovascular","GSE104649","A Zeb1 Hdac2 eNOS feedback circuitry identifies early cardiovascular precursors in naïve mouse embryonic stem cells","This SuperSeries is composed of the SubSeries listed below.","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE104649"
"cardiovascular","GSE130202","Genome-wide strategies reveal downstream target genes of Npas4l associated with cardiovascular development in zebrafish","This SuperSeries is composed of the SubSeries listed below.","Danio rerio","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE130202"
"cardiovascular","GSE12413","Prediction of left ventricle systolic dysfunction in mice using gene expression profiling"," We tested the hypothesis that a set of differentially expressed genes could be used to predict cardiovascular phenotype in mice after prolonged catecholamine stress. Keywords: Treatment","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE12413"
"cardiovascular","GSE124799","Exercise instructs hematopoietic progenitor cells and reduces chronic leukocytosis [RNA-seq]","Physical activity modulates communication between fat and the stromal hematopoietic bone marrow niche, leading to changes in hematopoiesis, reduced leukocyte levels and protection from cardiovascular disease.","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE124799"
"heart","PXD012591","Assessment of protein extraction and digestion efficiency of well-established shotgun protocols for heart proteomics","In this study, we evaluated three well-established sample preparation methods for shotgun proteomics, named: i) UREA; ii) sodium dodecyl sulfate (SDS); and iii) filter-aided sample preparation (FASP) protocols. We focused our analysis on protein extraction and digestion from heart left ventricle (LV) tissue.The three methods were compared by relative quantification using dimethyl labeling.","Rattus norvegicus (Rat)","11","https://osdr.nasa.gov/bio/repo/data/studies/PXD012591"
"heart","PXD002403","Chicken embryo proteome","White Leghorn chicken eggs were incubated for 18 days and dissected. Brain, breast muscle, bursa Fabricii, heart, kidney, liver, lung, ovary, spleen, and testicle tissues were sampled.","Gallus gallus (Chicken)","11","https://osdr.nasa.gov/bio/repo/data/studies/PXD002403"
"heart","PXD007288","Protein correlation of Mus musculus tissues","SILAC based protein correlation profiling using size exclusion of protein complexes derived from seven  Mus musculus tissues (Heart, Brain, Liver, Lung, Kidney, Skeletal Muscle, Thymus)","Mus musculus (Mouse)","11","https://osdr.nasa.gov/bio/repo/data/studies/PXD007288"
"heart","PXD007673","Chemical cross-linking mass spectrometry for systems structural biology in mouse heart tissue.","While modern structural biology technologies have greatly expanded the size and type of protein complexes that can now be studied, the ability to derive large-scale structural information on proteins and complexes as they exist within tissues is practically non-existent.  Many protein properties and their involvement in disease pathways are not replicated in cell culture and some complexes are not amenable to purification.  Thus, the lack of tissue-level structural information limits molecular-l...","Mus musculus (Mouse)","11","https://osdr.nasa.gov/bio/repo/data/studies/PXD007673"
"heart","PXD010958","Proteome analysis of huntingtin knock-in allelic series - Heart","The objective of this project is to study the proteome in different tissues of huntingtin knock-in allelic series in mice. In the current part of the study, heart samples from the complete allelic series collected at 2, 6, and 10 months were analyzed. To this end, comprehensive quantitative, label-free proteome analysis was performed using Evotec’s quantitative Deep Proteome Profiling technology.","Mus musculus (Mouse)","11","https://osdr.nasa.gov/bio/repo/data/studies/PXD010958"
"heart","PXD002152","Comparative analysis of mouse muscles types","The dataset presents FASP- and LC-MS/MS-based analysis of whole lysates of tree types of mouse muscle tissue: white and red muscle fibers and heart muscle. The measurements were performed using five biological replicates for each tissue type. The dataset cover 7200 proteins.  The data were used for calculation of protein titers using the 'total protein method' (TPA) method.","Mus musculus (Mouse)","11","https://osdr.nasa.gov/bio/repo/data/studies/PXD002152"
"heart","GSE50203","Transcriptome analysis of heart regeneration in adult zebrafish","After heart injury, adult zebrafish can perfectly regenerate its heart without any scar tissue left. We performed 100bp*2, paired-end, strand-specific, polyA-positive RNA-seq on hearts from 2 group of adult zebrafish, in which one was sham group and the other 7 days after heart tip amputation (7dpa). We found pathways involving hydrogen peroxidate related functions significantly up-regulated in 7dpa group, indicating its role in heart regeneration.","Danio rerio","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE50203"
"cardiac","PRD000319","cardiac nuclear proteome","analysis of cardiac tissue from mouse","Mus musculus (Mouse)","11","https://osdr.nasa.gov/bio/repo/data/studies/PRD000319"
"cardiac","PXD010336","Integrated Dissection of Cysteine Oxidative Modification Proteome During Cardiac Hypertrophy","Cysteine oxidative modification of cellular proteins is crucial for many aspects of cardiac hypertrophy development. However, integrated dissection of multiple types of cysteine oxidation proteome in cardiac hypertrophy is currently missing. Here we developed a novel discovery platform encompassing a customized biotin switch-based quantitative proteomics pipeline and an advanced analytic workflow to comprehensively profile the landscape of cysteine oxidation in ISO-induced cardiac hypertrophy mo...","Mus musculus (Mouse)","11","https://osdr.nasa.gov/bio/repo/data/studies/PXD010336"
"cardiac","GSE56511","NRG-1 induces mature ventricular cardiac differentiation from iPS cells contributing to cardiac tissue repair","Combined treatment with NRG-1 and DMSO led to efficient differentiation of iPS into mature ventricular-like cardiac cells, which were capable of preserving cardiac function and tissue viability when transplanted into a mouse model of myocardial infarction.","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE56511"
"cardiac","GSE73839","Cardiac reprogramming under defined conditions","Fibroblasts can be directly reprogrammed into cardiomyocyte-like cells (iCMs) by overexpression of cardiac transcription factors, including Gata4, Mef2c, and Tbx5; however, this process is inefficient under serum-based culture conditions, in which the conversion of partially reprogrammed cells into fully reprogrammed functional iCMs has been a major hurdle. Here, we report that a combination of fibroblast growth factor (FGF) 2, FGF10, and vascular endothelial growth factor (VEGF), termed FFV, pr...","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE73839"
"cardiac","GSE35903","Cardiac over-expression of Med13, non-cardiac tissue analysis","Med13 cardiac over-expression regulates obesity.  Liver, WAT and BAT from alphaMHC-Med13 TG mice was analyzed","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE35903"
"cardiac","GSE87122","microRNAs regulated by aldosterone/salt in rat left ventricles in vivo","Primary aldosteronism is characterized by excess aldosterone (ALDO) secretion independent of the renin-angiotensin system and accounts for ~10% of hypertensive patients. Excess ALDO, inappropriate for the salt intake status, causes cardiac hypertrophy, inflammation, fibrosis and hypertension. The molecular mechanisms that trigger the onset and progression of ALDO-mediated cardiac injury are poorly understood. MicroRNAs (miRNAs) are endogenous, small, non-coding RNAs that have been implicated in ...","Rattus norvegicus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE87122"
